model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2437,0.2101,0.1881,0.2096,0.2270,0.2081,0.2222,0.1582,0.1951,0.2060,0.1821,0.2222
claude-opus-4-5,0.2437,0.0000,0.2056,0.2082,0.1701,0.1770,0.1942,0.2107,0.1711,0.1629,0.1744,0.1683,0.1497
claude-opus-4-8,0.2101,0.2056,0.0000,0.2530,0.1347,0.1734,0.2128,0.1898,0.1361,0.1701,0.1921,0.1757,0.1837
claude-fable-5,0.1881,0.2082,0.2530,0.0000,0.1705,0.2101,0.1806,0.2222,0.1681,0.1935,0.2374,0.1724,0.1987
gpt-4o,0.2096,0.1701,0.1347,0.1705,0.0000,0.2730,0.2300,0.1575,0.1357,0.1530,0.2070,0.1855,0.2388
o3,0.2270,0.1770,0.1734,0.2101,0.2730,0.0000,0.2815,0.2816,0.1803,0.1990,0.2743,0.2156,0.2857
gpt-5.2,0.2081,0.1942,0.2128,0.1806,0.2300,0.2815,0.0000,0.2651,0.1667,0.1932,0.2414,0.1974,0.2196
gpt-5.6-sol,0.2222,0.2107,0.1898,0.2222,0.1575,0.2816,0.2651,0.0000,0.2219,0.2268,0.2566,0.1975,0.2087
gemini-3.1-pro-preview,0.1582,0.1711,0.1361,0.1681,0.1357,0.1803,0.1667,0.2219,0.0000,0.3313,0.2044,0.1465,0.1378
gemini-3.5-flash,0.1951,0.1629,0.1701,0.1935,0.1530,0.1990,0.1932,0.2268,0.3313,0.0000,0.2301,0.1837,0.1768
deepseek-v4-pro,0.2060,0.1744,0.1921,0.2374,0.2070,0.2743,0.2414,0.2566,0.2044,0.2301,0.0000,0.2112,0.2797
kimi-k2.6,0.1821,0.1683,0.1757,0.1724,0.1855,0.2156,0.1974,0.1975,0.1465,0.1837,0.2112,0.0000,0.2239
grok-4.5,0.2222,0.1497,0.1837,0.1987,0.2388,0.2857,0.2196,0.2087,0.1378,0.1768,0.2797,0.2239,0.0000
