model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2432,0.1677,0.1350,0.1711,0.1931,0.1787,0.2000,0.1015,0.1278,0.1615,0.1551,0.1758
claude-opus-4-5,0.2432,0.0000,0.1786,0.1901,0.1469,0.1658,0.1937,0.2319,0.1229,0.1402,0.1436,0.1561,0.1379
claude-opus-4-8,0.1677,0.1786,0.0000,0.2206,0.1050,0.1623,0.1842,0.1678,0.1061,0.1152,0.1525,0.1520,0.1404
claude-fable-5,0.1350,0.1901,0.2206,0.0000,0.1209,0.1832,0.1566,0.2042,0.1348,0.1750,0.2023,0.1356,0.1775
gpt-4o,0.1711,0.1469,0.1050,0.1209,0.0000,0.2440,0.1900,0.1326,0.1132,0.1503,0.1863,0.1750,0.2328
o3,0.1931,0.1658,0.1623,0.1832,0.2440,0.0000,0.2723,0.2753,0.1467,0.1787,0.2512,0.2238,0.2143
gpt-5.2,0.1787,0.1937,0.1842,0.1566,0.1900,0.2723,0.0000,0.2568,0.1154,0.1706,0.2081,0.1818,0.1622
gpt-5.6-sol,0.2000,0.2319,0.1678,0.2042,0.1326,0.2753,0.2568,0.0000,0.1667,0.2115,0.2151,0.2024,0.1765
gemini-3.1-pro-preview,0.1015,0.1229,0.1061,0.1348,0.1132,0.1467,0.1154,0.1667,0.0000,0.3415,0.1429,0.1095,0.0948
gemini-3.5-flash,0.1278,0.1402,0.1152,0.1750,0.1503,0.1787,0.1706,0.2115,0.3415,0.0000,0.2216,0.1466,0.1361
deepseek-v4-pro,0.1615,0.1436,0.1525,0.2023,0.1863,0.2512,0.2081,0.2151,0.1429,0.2216,0.0000,0.2010,0.2540
kimi-k2.6,0.1551,0.1561,0.1520,0.1356,0.1750,0.2238,0.1818,0.2024,0.1095,0.1466,0.2010,0.0000,0.2105
grok-4.5,0.1758,0.1379,0.1404,0.1775,0.2328,0.2143,0.1622,0.1765,0.0948,0.1361,0.2540,0.2105,0.0000
