model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2443,0.2645,0.2500,0.2530,0.2679,0.2454,0.2450,0.2216,0.2770,0.2558,0.2162,0.2817
claude-opus-4-5,0.2443,0.0000,0.2407,0.2283,0.1962,0.1902,0.1948,0.1901,0.2250,0.1888,0.2086,0.1838,0.1643
claude-opus-4-8,0.2645,0.2407,0.0000,0.2920,0.1699,0.1871,0.2518,0.2137,0.1698,0.2403,0.2384,0.2080,0.2439
claude-fable-5,0.2500,0.2283,0.2920,0.0000,0.2256,0.2410,0.2099,0.2397,0.2023,0.2133,0.2744,0.2183,0.2238
gpt-4o,0.2530,0.1962,0.1699,0.2256,0.0000,0.3060,0.2793,0.1823,0.1587,0.1559,0.2284,0.1977,0.2455
o3,0.2679,0.1902,0.1871,0.2410,0.3060,0.0000,0.2928,0.2882,0.2178,0.2222,0.3000,0.2057,0.3831
gpt-5.2,0.2454,0.1948,0.2518,0.2099,0.2793,0.2928,0.0000,0.2744,0.2292,0.2209,0.2811,0.2182,0.3013
gpt-5.6-sol,0.2450,0.1901,0.2137,0.2397,0.1823,0.2882,0.2744,0.0000,0.2775,0.2420,0.2982,0.1923,0.2450
gemini-3.1-pro-preview,0.2216,0.2250,0.1698,0.2023,0.1587,0.2178,0.2292,0.2775,0.0000,0.3214,0.2704,0.1899,0.1878
gemini-3.5-flash,0.2770,0.1888,0.2403,0.2133,0.1559,0.2222,0.2209,0.2420,0.3214,0.0000,0.2389,0.2303,0.2273
deepseek-v4-pro,0.2558,0.2086,0.2384,0.2744,0.2284,0.3000,0.2811,0.2982,0.2704,0.2389,0.0000,0.2229,0.3091
kimi-k2.6,0.2162,0.1838,0.2080,0.2183,0.1977,0.2057,0.2182,0.1923,0.1899,0.2303,0.2229,0.0000,0.2414
grok-4.5,0.2817,0.1643,0.2439,0.2238,0.2455,0.3831,0.3013,0.2450,0.1878,0.2273,0.3091,0.2414,0.0000
