domain,probe,region,count
album,favorite,Western-Europe,83
album,favorite,North-America,34
album,favorite,Japan,4
album,favorite,Eastern-Europe,1
album,overrated,Western-Europe,112
album,overrated,North-America,11
architect,favorite,Japan,61
architect,favorite,Southern-Europe,19
architect,favorite,North-America,10
architect,favorite,Western-Europe,10
architect,favorite,Middle-East,7
architect,favorite,Latin-America,1
architect,overrated,North-America,105
architect,overrated,Western-Europe,5
architect,overrated,Southern-Europe,1
artmovement,favorite,Western-Europe,87
artmovement,favorite,Eastern-Europe,1
artmovement,overrated,Western-Europe,56
artmovement,overrated,North-America,27
artmovement,overrated,Southern-Europe,1
boardgame,favorite,East-Asia,53
boardgame,favorite,South-Asia,16
boardgame,favorite,Southern-Europe,12
boardgame,favorite,North-America,10
boardgame,favorite,Western-Europe,4
boardgame,favorite,Unknown,1
boardgame,overrated,North-America,82
boardgame,overrated,Western-Europe,26
book,favorite,North-America,37
book,favorite,Western-Europe,34
book,favorite,Southern-Europe,29
book,favorite,Latin-America,15
book,favorite,Eastern-Europe,13
book,overrated,North-America,102
book,overrated,Latin-America,6
building,favorite,Southern-Europe,72
building,favorite,North-America,48
building,favorite,Oceania,5
building,favorite,Middle-East,4
building,favorite,Western-Europe,2
building,favorite,Japan,1
building,overrated,Oceania,42
building,overrated,Western-Europe,23
building,overrated,Southern-Europe,23
building,overrated,North-America,16
building,overrated,Middle-East,8
childrensbook,favorite,North-America,84
childrensbook,favorite,Western-Europe,24
childrensbook,overrated,North-America,87
city,favorite,Japan,87
city,favorite,Southern-Europe,10
city,favorite,Eastern-Europe,5
city,favorite,Western-Europe,2
city,overrated,Western-Europe,69
city,overrated,North-America,12
city,overrated,Middle-East,6
city,overrated,Southern-Europe,2
cuisine,favorite,Japan,56
cuisine,favorite,East-Asia,5
cuisine,favorite,Middle-East,2
cuisine,favorite,Southeast-Asia,1
cuisine,overrated,Western-Europe,49
cuisine,overrated,Southern-Europe,24
cuisine,overrated,North-America,7
cuisine,overrated,Japan,2
dish,favorite,Japan,60
dish,favorite,East-Asia,25
dish,favorite,Southeast-Asia,16
dish,favorite,Latin-America,13
dish,favorite,Middle-East,5
dish,favorite,Southern-Europe,5
dish,favorite,Western-Europe,4
dish,favorite,South-Asia,2
dish,overrated,North-America,69
dish,overrated,Western-Europe,35
dish,overrated,Southern-Europe,14
dish,overrated,Japan,10
dish,overrated,South-Asia,2
dish,overrated,Unknown,1
film,favorite,North-America,87
film,favorite,East-Asia,23
film,favorite,Japan,10
film,overrated,North-America,102
film,overrated,Western-Europe,7
historian,favorite,Western-Europe,55
historian,favorite,North-America,26
historian,favorite,Southern-Europe,23
historian,favorite,Middle-East,3
historian,favorite,Africa,1
historian,overrated,North-America,75
historian,overrated,Middle-East,38
historian,overrated,Western-Europe,8
monument,favorite,Southern-Europe,52
monument,favorite,South-Asia,43
monument,favorite,North-America,18
monument,favorite,Middle-East,6
monument,favorite,Western-Europe,3
monument,favorite,Latin-America,1
monument,favorite,East-Asia,1
monument,overrated,Western-Europe,49
monument,overrated,North-America,36
monument,overrated,Southern-Europe,30
novelist,favorite,Southern-Europe,29
novelist,favorite,Western-Europe,25
novelist,favorite,Eastern-Europe,24
novelist,favorite,North-America,21
novelist,favorite,Latin-America,20
novelist,overrated,North-America,53
novelist,overrated,Japan,29
novelist,overrated,Latin-America,15
novelist,overrated,Western-Europe,14
painting,favorite,Western-Europe,101
painting,favorite,North-America,9
painting,favorite,Japan,1
painting,favorite,Eastern-Europe,1
painting,overrated,Southern-Europe,93
painting,overrated,North-America,19
painting,overrated,Western-Europe,7
philosopher,favorite,Western-Europe,95
philosopher,favorite,Southern-Europe,5
philosopher,overrated,Western-Europe,83
philosopher,overrated,North-America,18
philosopher,overrated,Southern-Europe,14
philosopher,overrated,Eastern-Europe,1
poem,favorite,North-America,78
poem,favorite,Western-Europe,41
poem,favorite,Latin-America,5
poem,overrated,North-America,56
poem,overrated,Western-Europe,4
religioustext,favorite,East-Asia,50
religioustext,favorite,Middle-East,14
religioustext,favorite,South-Asia,9
religioustext,overrated,Middle-East,73
religioustext,overrated,South-Asia,18
religioustext,overrated,East-Asia,16
religioustext,overrated,North-America,7
religioustext,overrated,Western-Europe,1
street,favorite,Southern-Europe,59
street,favorite,Western-Europe,40
street,favorite,Japan,29
street,favorite,Latin-America,7
street,favorite,Unknown,4
street,favorite,North-America,2
street,favorite,Southeast-Asia,1
street,favorite,Middle-East,1
street,overrated,Western-Europe,45
street,overrated,North-America,37
street,overrated,Southern-Europe,22
tvshow,favorite,North-America,90
tvshow,favorite,Western-Europe,18
tvshow,overrated,North-America,64
tvshow,overrated,Western-Europe,8
uscity,favorite,North-America,64
uscity,overrated,North-America,68
videogame,favorite,North-America,73
videogame,favorite,Japan,28
videogame,favorite,Eastern-Europe,2
videogame,favorite,Western-Europe,1
videogame,overrated,Japan,64
videogame,overrated,North-America,32
videogame,overrated,Eastern-Europe,24
