model,label,family,n_confident_favorite,n_confident_overrated,n_confident_total,rate_favorite,rate_overrated,rate_total,top_group,top_group_share,group_entropy,top_favorite_pick_1,top_favorite_pick_2,top_favorite_pick_3,top_overrated_pick_1,top_overrated_pick_2,top_overrated_pick_3
claude-opus-4-1,Claude Opus 4.1,Anthropic,22,15,37,0.5116,0.3488,0.4302,people,0.378,0.901,"season:spring (own 6/8, breadth 0/12, field picks autumn 48/48)","city:prague (own 5/10, breadth 0/12, field picks kyoto 81/94)","painting:sunday afternoon on the island of la grande jatte (own 8/10, breadth 0/12, field picks starry night 42/102)","film:english patient (own 7/10, breadth 0/12, field picks avatar 39/99)","painting:american gothic (own 5/10, breadth 1/12, field picks mona lisa 84/109)","philosopher:georg wilhelm friedrich hegel (own 8/12, breadth 1/12, field picks friedrich nietzsche 34/104)"
claude-opus-4-5,Claude Opus 4.5,Anthropic,13,15,28,0.3023,0.3488,0.3256,people,0.393,0.914,"city:lisbon (own 10/10, breadth 0/12, field picks kyoto 83/94)","monument:lincoln memorial (own 6/12, breadth 0/12, field picks taj mahal 38/112)","historian:natalie zemon davis (own 4/4, breadth 1/12, field picks fernand braudel 40/104)","painting:arrangement in grey and black no. 1 (own 10/10, breadth 0/12, field picks mona lisa 88/109)","word:whimsical (own 7/12, breadth 0/12, field picks serendipity 40/76)","uscity:san diego (own 4/8, breadth 0/12, field picks san francisco 24/60)"
claude-opus-4-8,Claude Opus 4.8,Anthropic,18,15,33,0.4186,0.3488,0.3837,people,0.303,0.977,"cuisine:sichuan cuisine (own 5/8, breadth 0/12, field picks japanese cuisine 53/56)","architect:peter zumthor (own 8/10, breadth 0/12, field picks tadao ando 61/98)","airesearcher:richard sutton (own 9/12, breadth 0/12, field picks geoffrey hinton 39/104)","religioustext:book of proverbs (own 7/8, breadth 0/12, field picks book of revelation 44/107)","uscity:new orleans (own 4/8, breadth 0/12, field picks san francisco 24/60)","typeface:gill sans (own 6/12, breadth 1/12, field picks helvetica 60/80)"
claude-fable-5,Claude Fable 5,Anthropic,12,14,26,0.2791,0.3256,0.3023,people,0.385,0.938,"psychologist:principles of psychology (own 4/4, breadth 0/12, field picks carl jung 31/80)","historian:history of the peloponnesian war (own 4/4, breadth 0/12, field picks fernand braudel 40/104)","economist:thomas schelling (own 7/8, breadth 0/12, field picks friedrich hayek 58/148)","uscity:las vegas (own 4/4, breadth 0/12, field picks san francisco 28/64)","typeface:garamond (own 6/12, breadth 0/12, field picks helvetica 60/80)","cuisine:brunch-style american cuisine (own 4/8, breadth 0/12, field picks french cuisine 45/74)"
gpt-4o,GPT-4o,OpenAI,12,12,24,0.2791,0.2791,0.2791,people,0.375,0.875,"poem:road not taken (own 4/4, breadth 0/12, field picks love song of j. alfred prufrock 36/120)","film:inception (own 6/10, breadth 0/12, field picks 2001: a space odyssey 40/110)","actress:meryl streep (own 4/4, breadth 1/12, field picks cate blanchett 35/73)","videogame:fortnite (own 6/12, breadth 0/12, field picks legend of zelda: breath of the wild 52/108)","city:los angeles (own 7/10, breadth 1/12, field picks paris 66/79)","album:ok computer (own 9/10, breadth 2/12, field picks sgt. pepper's lonely hearts club band 47/113)"
o3,o3,OpenAI,8,9,17,0.1860,0.2093,0.1977,people,0.412,0.920,"actor:mahershala ali (own 7/10, breadth 0/12, field picks daniel day-lewis 23/66)","economist:elinor ostrom (own 5/8, breadth 2/12, field picks friedrich hayek 59/148)","film:blade runner (own 7/8, breadth 4/12, field picks 2001: a space odyssey 40/112)","building:eiffel tower (own 6/12, breadth 2/12, field picks sydney opera house 38/100)","uscity:los angeles (own 4/4, breadth 3/12, field picks san francisco 28/64)","smell:freshly brewed coffee (own 9/12, breadth 4/12, field picks fresh-cut grass 38/96)"
gpt-5.2,GPT-5.2,OpenAI,18,9,27,0.4186,0.2093,0.3140,people,0.333,0.935,"mathematician:david hilbert (own 6/8, breadth 0/12, field picks emmy noether 30/88)","monument:parthenon (own 8/12, breadth 0/12, field picks taj mahal 36/112)","poem:wild geese (own 6/12, breadth 0/12, field picks love song of j. alfred prufrock 34/112)","building:burj khalifa (own 7/8, breadth 1/12, field picks sydney opera house 42/104)","album:ok computer (own 7/10, breadth 2/12, field picks sgt. pepper's lonely hearts club band 45/113)","theologian:thomas aquinas (own 4/4, breadth 3/12, field picks c.s. lewis 40/92)"
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,11,12,23,0.2558,0.2791,0.2674,people,0.478,0.779,"airesearcher:alan turing (own 4/8, breadth 0/12, field picks geoffrey hinton 35/108)","economist:elinor ostrom (own 4/4, breadth 2/12, field picks friedrich hayek 59/152)","historian:herodotus (own 4/4, breadth 2/12, field picks fernand braudel 40/104)","book:alchemist (own 4/4, breadth 1/12, field picks catcher in the rye 81/104)","uscity:austin (own 4/8, breadth 1/12, field picks san francisco 24/60)","novelist:paulo coelho (own 4/4, breadth 2/12, field picks ernest hemingway 35/107)"
gemini-3.1-pro-preview,Gemini 3.1 Pro,Google,17,14,31,0.3953,0.3256,0.3605,people,0.323,0.904,"smell:ozone (own 7/12, breadth 0/12, field picks petrichor 67/92)","airesearcher:chris olah (own 8/8, breadth 0/12, field picks geoffrey hinton 39/108)","dish:confit byaldi (own 4/4, breadth 0/12, field picks ramen 42/126)","poem:if— (own 4/4, breadth 0/12, field picks road not taken 49/56)","computerscientist:marvin minsky (own 6/12, breadth 0/12, field picks alan turing 39/105)","uscity:austin (own 4/4, breadth 1/12, field picks san francisco 28/64)"
gemini-3.5-flash,Gemini 3.5 Flash,Google,15,12,27,0.3488,0.2791,0.3140,people,0.296,0.949,"airesearcher:douglas hofstadter (own 4/4, breadth 0/12, field picks geoffrey hinton 39/112)","childrensbook:harold and the purple crayon (own 4/4, breadth 1/12, field picks phantom tollbooth 46/120)","dish:xiao long bao (own 6/12, breadth 1/12, field picks ramen 42/118)","poem:o captain! my captain! (own 6/12, breadth 0/12, field picks road not taken 44/48)","religioustext:book of leviticus (own 8/9, breadth 0/12, field picks book of revelation 44/106)","film:boyhood (own 10/10, breadth 1/12, field picks avatar 40/99)"
