scope,group,probe,rank,descriptor,z,log_odds_delta,count_in_group,count_in_rest
model,Claude Fable 5,favorite,1,miraculous,2.8041,1.2981,7,0
model,Claude Fable 5,favorite,2,grown,2.3697,1.2979,5,0
model,Claude Fable 5,favorite,3,ambiguous,2.3230,0.3033,22,58
model,Claude Fable 5,favorite,4,porous,2.1194,1.2979,4,0
model,Claude Fable 5,favorite,5,patient,2.1110,0.3057,18,47
model,Claude Fable 5,favorite,6,hesitation,1.9167,1.0102,4,1
model,Claude Fable 5,favorite,7,feverish,1.8354,1.2978,3,0
model,Claude Fable 5,favorite,8,beautiful,1.7396,0.1658,27,127
model,Claude Fable 5,favorite,9,silent,1.7278,0.5535,6,7
model,Claude Fable 5,favorite,10,circular,1.6491,0.5095,6,8
model,Claude Opus 4.1,favorite,1,transformation,3.0092,0.6049,17,16
model,Claude Opus 4.1,favorite,2,flowing,2.0846,0.4336,12,19
model,Claude Opus 4.1,favorite,3,profound,2.0540,0.2297,26,84
model,Claude Opus 4.1,favorite,4,invisible,1.9835,0.6354,7,6
model,Claude Opus 4.1,favorite,5,dreamlike,1.9775,0.2055,28,100
model,Claude Opus 4.1,favorite,6,transcendent,1.8956,0.2812,17,45
model,Claude Opus 4.1,favorite,7,mathematically elegant,1.8061,1.2771,3,0
model,Claude Opus 4.1,favorite,8,wild,1.8061,1.2771,3,0
model,Claude Opus 4.1,favorite,9,energizing,1.8061,1.2771,3,0
model,Claude Opus 4.1,favorite,10,natural,1.5965,0.4357,7,11
model,Claude Opus 4.5,favorite,1,honest,6.3195,0.4787,99,134
model,Claude Opus 4.5,favorite,2,accountability,3.2723,1.2674,10,0
model,Claude Opus 4.5,favorite,3,improvisation,3.0612,0.7567,14,8
model,Claude Opus 4.5,favorite,4,unresolved,2.9419,0.8879,11,4
model,Claude Opus 4.5,favorite,5,architecture,2.8210,0.7502,12,7
model,Claude Opus 4.5,favorite,6,respectful,2.6284,0.9796,8,2
model,Claude Opus 4.5,favorite,7,morally serious,2.6284,0.9796,8,2
model,Claude Opus 4.5,favorite,8,improvisational,2.4683,0.7652,9,5
model,Claude Opus 4.5,favorite,9,compassionate,2.3804,0.6483,10,8
model,Claude Opus 4.5,favorite,10,abstraction,2.3578,1.0595,6,1
model,Claude Opus 4.8,favorite,1,dispersed,4.3164,1.2822,17,0
model,Claude Opus 4.8,favorite,2,distributed,3.9419,1.1897,15,1
model,Claude Opus 4.8,favorite,3,humility,3.5686,0.8301,17,8
model,Claude Opus 4.8,favorite,4,restraint,3.1677,0.2590,52,153
model,Claude Opus 4.8,favorite,5,honest,3.0564,0.2349,55,178
model,Claude Opus 4.8,favorite,6,thrilling,2.8081,1.1191,8,1
model,Claude Opus 4.8,favorite,7,moving,2.4331,0.6627,10,8
model,Claude Opus 4.8,favorite,8,humbling,2.2336,0.9248,6,2
model,Claude Opus 4.8,favorite,9,honesty,2.2049,0.4736,12,17
model,Claude Opus 4.8,favorite,10,slowness,2.1516,1.0403,5,1
model,DeepSeek V4 Pro,favorite,1,seductive,2.5367,1.2684,6,0
model,DeepSeek V4 Pro,favorite,2,meditative,2.4771,0.2591,33,92
model,DeepSeek V4 Pro,favorite,3,sacred,2.3610,0.5066,13,16
model,DeepSeek V4 Pro,favorite,4,ecstatic,2.3605,1.0607,6,1
model,DeepSeek V4 Pro,favorite,5,pointillist,1.9689,0.5087,9,11
model,DeepSeek V4 Pro,favorite,6,jeweled,1.8605,0.9806,4,1
model,DeepSeek V4 Pro,favorite,7,lo-fi,1.7935,1.2682,3,0
model,DeepSeek V4 Pro,favorite,8,tumultuous,1.7935,1.2682,3,0
model,DeepSeek V4 Pro,favorite,9,delicate,1.7809,0.2392,19,57
model,DeepSeek V4 Pro,favorite,10,hypnotic,1.7575,0.2550,17,48
model,Gemini 3.1 Pro,favorite,1,geometric,4.0426,0.2630,81,243
model,Gemini 3.1 Pro,favorite,2,algorithmic,3.1233,0.5501,20,23
model,Gemini 3.1 Pro,favorite,3,fractal,2.8176,0.7929,11,6
model,Gemini 3.1 Pro,favorite,4,mathematical,2.6619,0.2111,47,173
model,Gemini 3.1 Pro,favorite,5,isolation,2.6345,0.7632,10,6
model,Gemini 3.1 Pro,favorite,6,visual harmony,2.4066,1.0814,6,1
model,Gemini 3.1 Pro,favorite,7,brutalist,2.3824,0.6312,10,9
model,Gemini 3.1 Pro,favorite,8,elegant,2.2472,0.0791,136,1015
model,Gemini 3.1 Pro,favorite,9,pristine,2.1048,1.2889,4,0
model,Gemini 3.1 Pro,favorite,10,ephemeral,2.0075,0.3995,12,22
model,Gemini 3.5 Flash,favorite,1,sublime,6.0239,0.6830,60,44
model,Gemini 3.5 Flash,favorite,2,minimalist,3.5767,0.2624,67,187
model,Gemini 3.5 Flash,favorite,3,mathematical,3.4834,0.2744,60,160
model,Gemini 3.5 Flash,favorite,4,infinite,2.7767,0.6290,14,12
model,Gemini 3.5 Flash,favorite,5,poetic,2.4987,0.1747,57,227
model,Gemini 3.5 Flash,favorite,6,claustrophobic,2.1773,0.6727,8,6
model,Gemini 3.5 Flash,favorite,7,geometric,2.1307,0.1400,57,267
model,Gemini 3.5 Flash,favorite,8,exquisite,2.0470,0.5423,9,10
model,Gemini 3.5 Flash,favorite,9,harmonious,2.0312,0.1884,34,127
model,Gemini 3.5 Flash,favorite,10,melancholic,2.0010,0.2380,24,73
model,GPT-4o,favorite,1,innovative,5.6112,1.1395,32,3
model,GPT-4o,favorite,2,timeless,4.9708,0.4073,75,125
model,GPT-4o,favorite,3,dynamic,4.5881,0.6078,40,36
model,GPT-4o,favorite,4,vibrant,4.3039,0.5817,37,36
model,GPT-4o,favorite,5,profound,3.8683,0.4270,43,67
model,GPT-4o,favorite,6,harmonious,3.6654,0.3359,52,109
model,GPT-4o,favorite,7,thought-provoking,3.6297,1.0822,14,2
model,GPT-4o,favorite,8,accessible,3.4145,0.7773,17,9
model,GPT-4o,favorite,9,engaging,3.2904,1.1417,11,1
model,GPT-4o,favorite,10,immersive,3.1300,0.5064,23,28
model,GPT-5.2,favorite,1,clean,4.5792,0.4999,51,61
model,GPT-5.2,favorite,2,calm,4.1386,0.4300,50,74
model,GPT-5.2,favorite,3,textured,3.3771,0.5122,27,31
model,GPT-5.2,favorite,4,restrained,2.9193,0.2549,49,130
model,GPT-5.2,favorite,5,architectural,2.5463,0.2032,51,165
model,GPT-5.2,favorite,6,crisp,2.4110,0.4305,17,25
model,GPT-5.2,favorite,7,spare elegance,2.2825,1.2502,5,0
model,GPT-5.2,favorite,8,bleakness,2.2825,1.2502,5,0
model,GPT-5.2,favorite,9,plainspoken,2.2825,1.2502,5,0
model,GPT-5.2,favorite,10,spacious,2.2584,0.3704,18,32
model,GPT-5.6 Sol,favorite,1,fractured,2.6384,0.7643,10,6
model,GPT-5.6 Sol,favorite,2,wintry,2.3554,1.2901,5,0
model,GPT-5.6 Sol,favorite,3,clean syntax,2.3554,1.2901,5,0
model,GPT-5.6 Sol,favorite,4,austere,2.0534,0.2001,30,116
model,GPT-5.6 Sol,favorite,5,unsettling,1.9344,0.4031,11,20
model,GPT-5.6 Sol,favorite,6,irregular rhythm,1.8243,1.2900,3,0
model,GPT-5.6 Sol,favorite,7,spare language,1.8243,1.2900,3,0
model,GPT-5.6 Sol,favorite,8,soft,1.7913,0.4636,8,12
model,GPT-5.6 Sol,favorite,9,monumental,1.7082,0.2331,17,57
model,GPT-5.6 Sol,favorite,10,intimate,1.6674,0.1299,36,196
model,Grok 4.5,favorite,1,sculptural,4.4569,0.4504,54,77
model,Grok 4.5,favorite,2,painterly,3.9864,0.5666,33,33
model,Grok 4.5,favorite,3,luminous,3.4852,0.1983,96,330
model,Grok 4.5,favorite,4,kinetic,3.3023,0.5815,22,21
model,Grok 4.5,favorite,5,deadpan,3.0827,1.2585,9,0
model,Grok 4.5,favorite,6,irreverent,2.8516,0.9283,10,3
model,Grok 4.5,favorite,7,architectural,2.5663,0.2049,50,166
model,Grok 4.5,favorite,8,smooth,2.5521,1.0761,7,1
model,Grok 4.5,favorite,9,crystalline,2.4966,0.2092,46,150
model,Grok 4.5,favorite,10,poetry,2.4398,0.7564,9,5
model,Kimi K2.6,favorite,1,recursive,2.6736,0.3455,26,55
model,Kimi K2.6,favorite,2,generous,2.1831,0.5046,11,14
model,Kimi K2.6,favorite,3,metatheatrical,2.1434,1.0363,5,1
model,Kimi K2.6,favorite,4,compression,2.0044,0.5178,9,11
model,Kimi K2.6,favorite,5,lonely,1.8779,0.9897,4,1
model,Kimi K2.6,favorite,6,collaborative,1.7340,0.5010,7,9
model,Kimi K2.6,favorite,7,computational,1.6639,0.5330,6,7
model,Kimi K2.6,favorite,8,turbulent,1.6631,0.3786,9,17
model,Kimi K2.6,favorite,9,sensual,1.5723,0.9207,3,1
model,Kimi K2.6,favorite,10,accumulation,1.5723,0.9207,3,1
model,o3,favorite,1,lyrical,2.3589,0.3213,23,50
model,o3,favorite,2,lilting,2.2708,0.8367,7,3
model,o3,favorite,3,intimate,2.2503,0.1740,48,184
model,o3,favorite,4,urgent,2.1484,0.6638,8,6
model,o3,favorite,5,musical,2.0928,0.2145,31,100
model,o3,favorite,6,poetic,2.0089,0.1408,52,232
model,o3,favorite,7,silky,1.5450,0.9046,3,1
model,o3,favorite,8,erudite,1.5186,0.6635,4,3
model,o3,favorite,9,finality,1.4564,1.2613,2,0
model,o3,favorite,10,prophetic,1.4564,1.2613,2,0
family,Anthropic,favorite,1,honest,9.1003,0.7029,187,46
family,Anthropic,favorite,2,restraint,4.5990,0.3712,115,90
family,Anthropic,favorite,3,ambiguous,4.0212,0.5227,54,26
family,Anthropic,favorite,4,patient,3.7797,0.5458,45,20
family,Anthropic,favorite,5,philosophical,3.4048,0.4619,46,27
family,Anthropic,favorite,6,honesty,3.3282,0.7313,24,5
family,Anthropic,favorite,7,transformation,3.3009,0.6761,26,7
family,Anthropic,favorite,8,dispersed,3.3001,0.9803,17,0
family,Anthropic,favorite,9,satisfying,3.2346,0.7226,23,5
family,Anthropic,favorite,10,humility,3.1571,0.7486,21,4
family,DeepSeek,favorite,1,seductive,2.5367,1.2684,6,0
family,DeepSeek,favorite,2,meditative,2.4771,0.2591,33,92
family,DeepSeek,favorite,3,sacred,2.3610,0.5066,13,16
family,DeepSeek,favorite,4,ecstatic,2.3605,1.0607,6,1
family,DeepSeek,favorite,5,pointillist,1.9689,0.5087,9,11
family,DeepSeek,favorite,6,jeweled,1.8605,0.9806,4,1
family,DeepSeek,favorite,7,lo-fi,1.7935,1.2682,3,0
family,DeepSeek,favorite,8,tumultuous,1.7935,1.2682,3,0
family,DeepSeek,favorite,9,delicate,1.7809,0.2392,19,57
