model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2405,0.2154,0.1953,0.2150,0.2275,0.2141,0.2274,0.1535,0.1890,0.2169,0.1724,0.2195
claude-opus-4-5,0.2405,0.0000,0.2000,0.2143,0.1662,0.1787,0.1964,0.2105,0.1566,0.1710,0.1845,0.1606,0.1570
claude-opus-4-8,0.2154,0.2000,0.0000,0.2457,0.1421,0.1762,0.2166,0.1818,0.1274,0.1712,0.1943,0.1740,0.1837
claude-fable-5,0.1953,0.2143,0.2457,0.0000,0.1729,0.2019,0.1818,0.2324,0.1578,0.2058,0.2423,0.1680,0.2067
gpt-4o,0.2150,0.1662,0.1421,0.1729,0.0000,0.2652,0.2293,0.1659,0.1245,0.1581,0.2106,0.1767,0.2446
o3,0.2275,0.1787,0.1762,0.2019,0.2652,0.0000,0.2796,0.2829,0.1614,0.1964,0.2869,0.1982,0.2757
gpt-5.2,0.2141,0.1964,0.2166,0.1818,0.2293,0.2796,0.0000,0.2672,0.1554,0.1911,0.2436,0.1931,0.2284
gpt-5.6-sol,0.2274,0.2105,0.1818,0.2324,0.1659,0.2829,0.2672,0.0000,0.2000,0.2301,0.2663,0.1919,0.2201
gemini-3.1-pro-preview,0.1535,0.1566,0.1274,0.1578,0.1245,0.1614,0.1554,0.2000,0.0000,0.3079,0.1867,0.1349,0.1324
gemini-3.5-flash,0.1890,0.1710,0.1712,0.2058,0.1581,0.1964,0.1911,0.2301,0.3079,0.0000,0.2339,0.1762,0.1877
deepseek-v4-pro,0.2169,0.1845,0.1943,0.2423,0.2106,0.2869,0.2436,0.2663,0.1867,0.2339,0.0000,0.2041,0.2874
kimi-k2.6,0.1724,0.1606,0.1740,0.1680,0.1767,0.1982,0.1931,0.1919,0.1349,0.1762,0.2041,0.0000,0.2145
grok-4.5,0.2195,0.1570,0.1837,0.2067,0.2446,0.2757,0.2284,0.2201,0.1324,0.1877,0.2874,0.2145,0.0000
