model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2349,0.1657,0.1475,0.1796,0.1870,0.1850,0.2151,0.0971,0.1371,0.1682,0.1512,0.1643
claude-opus-4-5,0.2349,0.0000,0.1718,0.1867,0.1443,0.1556,0.1963,0.2250,0.1094,0.1467,0.1505,0.1554,0.1343
claude-opus-4-8,0.1657,0.1718,0.0000,0.2174,0.1171,0.1562,0.1916,0.1607,0.0984,0.1230,0.1569,0.1562,0.1465
claude-fable-5,0.1475,0.1867,0.2174,0.0000,0.1353,0.1674,0.1600,0.2256,0.1237,0.1803,0.2100,0.1457,0.1888
gpt-4o,0.1796,0.1443,0.1171,0.1353,0.0000,0.2263,0.1903,0.1471,0.1057,0.1745,0.1905,0.1757,0.2315
o3,0.1870,0.1556,0.1562,0.1674,0.2263,0.0000,0.2558,0.2692,0.1285,0.1772,0.2348,0.2025,0.1935
gpt-5.2,0.1850,0.1963,0.1916,0.1600,0.1903,0.2558,0.0000,0.2621,0.1036,0.1752,0.2040,0.1811,0.1680
gpt-5.6-sol,0.2151,0.2250,0.1607,0.2256,0.1471,0.2692,0.2621,0.0000,0.1481,0.2079,0.2234,0.2074,0.1777
gemini-3.1-pro-preview,0.0971,0.1094,0.0984,0.1237,0.1057,0.1285,0.1036,0.1481,0.0000,0.3107,0.1316,0.0991,0.0921
gemini-3.5-flash,0.1371,0.1467,0.1230,0.1803,0.1745,0.1772,0.1752,0.2079,0.3107,0.0000,0.2190,0.1469,0.1542
deepseek-v4-pro,0.1682,0.1505,0.1569,0.2100,0.1905,0.2348,0.2040,0.2234,0.1316,0.2190,0.0000,0.1964,0.2523
kimi-k2.6,0.1512,0.1554,0.1562,0.1457,0.1757,0.2025,0.1811,0.2074,0.0991,0.1469,0.1964,0.0000,0.1991
grok-4.5,0.1643,0.1343,0.1465,0.1888,0.2315,0.1935,0.1680,0.1777,0.0921,0.1542,0.2523,0.1991,0.0000
