model,claude-opus-4-1,claude-opus-4-5,claude-opus-4-8,claude-fable-5,gpt-4o,o3,gpt-5.2,gpt-5.6-sol,gemini-3.1-pro-preview,gemini-3.5-flash,deepseek-v4-pro,kimi-k2.6,grok-4.5
claude-opus-4-1,0.0000,0.2467,0.2794,0.2516,0.2526,0.2760,0.2500,0.2398,0.2162,0.2500,0.2687,0.1977,0.2901
claude-opus-4-5,0.2467,0.0000,0.2362,0.2465,0.1895,0.2063,0.1966,0.1963,0.2093,0.1988,0.2205,0.1667,0.1852
claude-opus-4-8,0.2794,0.2362,0.0000,0.2812,0.1703,0.2011,0.2500,0.2053,0.1607,0.2329,0.2363,0.1973,0.2345
claude-fable-5,0.2516,0.2465,0.2812,0.0000,0.2135,0.2434,0.2088,0.2393,0.1944,0.2346,0.2760,0.1951,0.2284
gpt-4o,0.2526,0.1895,0.1703,0.2135,0.0000,0.3088,0.2749,0.1840,0.1429,0.1422,0.2301,0.1779,0.2589
o3,0.2760,0.2063,0.2011,0.2434,0.3088,0.0000,0.3092,0.2974,0.1982,0.2184,0.3455,0.1932,0.3889
gpt-5.2,0.2500,0.1966,0.2500,0.2088,0.2749,0.3092,0.0000,0.2727,0.2184,0.2103,0.2890,0.2083,0.3128
gpt-5.6-sol,0.2398,0.1963,0.2053,0.2393,0.1840,0.2974,0.2727,0.0000,0.2527,0.2529,0.3085,0.1758,0.2690
gemini-3.1-pro-preview,0.2162,0.2093,0.1607,0.1944,0.1429,0.1982,0.2184,0.2527,0.0000,0.3051,0.2432,0.1762,0.1795
gemini-3.5-flash,0.2500,0.1988,0.2329,0.2346,0.1422,0.2184,0.2103,0.2529,0.3051,0.0000,0.2488,0.2114,0.2286
deepseek-v4-pro,0.2687,0.2205,0.2363,0.2760,0.2301,0.3455,0.2890,0.3085,0.2432,0.2488,0.0000,0.2123,0.3265
kimi-k2.6,0.1977,0.1667,0.1973,0.1951,0.1779,0.1932,0.2083,0.1758,0.1762,0.2114,0.2123,0.0000,0.2339
grok-4.5,0.2901,0.1852,0.2345,0.2284,0.2589,0.3889,0.3128,0.2690,0.1795,0.2286,0.3265,0.2339,0.0000
