rank,model,label,family,rate_total,n_confident_total,rate_favorite,rate_overrated
1,claude-opus-4-1,Claude Opus 4.1,Anthropic,0.4200,42,0.4600,0.3800
2,claude-opus-4-8,Claude Opus 4.8,Anthropic,0.3900,39,0.4000,0.3800
3,kimi-k2.6,Kimi K2.6,Moonshot,0.3700,37,0.3400,0.4000
4,claude-opus-4-5,Claude Opus 4.5,Anthropic,0.3400,34,0.2800,0.4000
5,gemini-3.5-flash,Gemini 3.5 Flash,Google,0.3400,34,0.3400,0.3400
6,claude-fable-5,Claude Fable 5,Anthropic,0.3100,31,0.2800,0.3400
7,gpt-5.2,GPT-5.2,OpenAI,0.3100,31,0.3600,0.2600
8,gemini-3.1-pro-preview,Gemini 3.1 Pro,Google,0.3100,31,0.3400,0.2800
9,gpt-4o,GPT-4o,OpenAI,0.2800,28,0.2600,0.3000
10,gpt-5.6-sol,GPT-5.6 Sol,OpenAI,0.2600,26,0.2200,0.3000
11,grok-4.5,Grok 4.5,xAI,0.2600,26,0.3200,0.2000
12,o3,o3,OpenAI,0.2000,20,0.1800,0.2200
13,deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,0.1900,19,0.2400,0.1400
