scope,group,probe,rank,descriptor,z,log_odds_delta,count_in_group,count_in_rest
model,Claude Fable 5,favorite,1,miraculous,2.7971,1.2948,7,0
model,Claude Fable 5,favorite,2,ambiguous,2.2980,0.3001,22,58
model,Claude Fable 5,favorite,3,sheltered,2.1790,1.0535,5,1
model,Claude Fable 5,favorite,4,grown,2.1790,1.0535,5,1
model,Claude Fable 5,favorite,5,porous,2.1141,1.2946,4,0
model,Claude Fable 5,favorite,6,patient,2.0886,0.3025,18,47
model,Claude Fable 5,favorite,7,hesitation,1.9106,1.0070,4,1
model,Claude Fable 5,favorite,8,feverish,1.8308,1.2946,3,0
model,Claude Fable 5,favorite,9,silent,1.7177,0.5503,6,7
model,Claude Fable 5,favorite,10,beautiful,1.6824,0.1594,27,129
model,Claude Opus 4.1,favorite,1,transformation,2.9878,0.6006,17,16
model,Claude Opus 4.1,favorite,2,dreamlike,2.0374,0.2060,30,105
model,Claude Opus 4.1,favorite,3,flowing,2.0164,0.4130,12,20
model,Claude Opus 4.1,favorite,4,profound,2.0154,0.2254,26,84
model,Claude Opus 4.1,favorite,5,invisible,1.9702,0.6312,7,6
model,Claude Opus 4.1,favorite,6,transcendent,1.8666,0.2769,17,45
model,Claude Opus 4.1,favorite,7,energizing,1.8000,1.2728,3,0
model,Claude Opus 4.1,favorite,8,wild,1.8000,1.2728,3,0
model,Claude Opus 4.1,favorite,9,mathematically elegant,1.8000,1.2728,3,0
model,Claude Opus 4.1,favorite,10,paradoxical,1.7402,0.2606,16,45
model,Claude Opus 4.5,favorite,1,honest,6.4176,0.4760,103,140
model,Claude Opus 4.5,favorite,2,accountability,3.2688,1.2660,10,0
model,Claude Opus 4.5,favorite,3,improvisation,3.0556,0.7554,14,8
model,Claude Opus 4.5,favorite,4,improvisational,3.0036,0.8492,12,5
model,Claude Opus 4.5,favorite,5,respectful,2.9976,1.0248,10,2
model,Claude Opus 4.5,favorite,6,unresolved,2.9374,0.8866,11,4
model,Claude Opus 4.5,favorite,7,architecture,2.8159,0.7488,12,7
model,Claude Opus 4.5,favorite,8,morally serious,2.6248,0.9782,8,2
model,Claude Opus 4.5,favorite,9,compassionate,2.3753,0.6469,10,8
model,Claude Opus 4.5,favorite,10,conversational,2.3586,0.4265,16,25
model,Claude Opus 4.8,favorite,1,dispersed,4.3082,1.2797,17,0
model,Claude Opus 4.8,favorite,2,humility,4.0943,0.8879,21,8
model,Claude Opus 4.8,favorite,3,distributed,3.9338,1.1872,15,1
model,Claude Opus 4.8,favorite,4,honest,3.2943,0.2476,60,183
model,Claude Opus 4.8,favorite,5,restraint,3.1371,0.2565,52,153
model,Claude Opus 4.8,favorite,6,thrilling,2.8020,1.1167,8,1
model,Claude Opus 4.8,favorite,7,moving,2.4242,0.6602,10,8
model,Claude Opus 4.8,favorite,8,humbling,2.2278,0.9224,6,2
model,Claude Opus 4.8,favorite,9,honesty,2.1936,0.4711,12,17
