record_type,matrix,step,a,b,height,size,model,cluster_k,family
merge,combined,1,gemini-3.1-pro-preview,gemini-3.5-flash,0.6921,2,,,
merge,combined,2,deepseek-v4-pro,grok-4.5,0.7126,2,,,
merge,combined,3,o3,gpt-5.6-sol,0.7171,2,,,
merge,combined,4,gpt-5.2,cluster15,0.7266,3,,,
merge,combined,5,cluster14,cluster16,0.7465,5,,,
merge,combined,6,claude-opus-4-8,claude-fable-5,0.7543,2,,,
merge,combined,7,claude-opus-4-1,claude-opus-4-5,0.7595,2,,,
merge,combined,8,gpt-4o,cluster17,0.7769,6,,,
merge,combined,9,cluster18,cluster19,0.7937,4,,,
merge,combined,10,cluster20,cluster21,0.8022,10,,,
merge,combined,11,kimi-k2.6,cluster22,0.8146,11,,,
merge,combined,12,cluster13,cluster23,0.8272,13,,,
assignment,combined,,,,,2,claude-opus-4-1,0,Anthropic
assignment,combined,,,,,2,claude-opus-4-5,0,Anthropic
assignment,combined,,,,,2,claude-opus-4-8,2,Anthropic
assignment,combined,,,,,2,claude-fable-5,2,Anthropic
assignment,combined,,,,,1,gpt-4o,4,OpenAI
assignment,combined,,,,,5,o3,10,OpenAI
assignment,combined,,,,,5,gpt-5.2,10,OpenAI
assignment,combined,,,,,5,gpt-5.6-sol,10,OpenAI
assignment,combined,,,,,5,deepseek-v4-pro,10,DeepSeek
assignment,combined,,,,,5,grok-4.5,10,xAI
assignment,combined,,,,,2,gemini-3.1-pro-preview,8,Google
assignment,combined,,,,,2,gemini-3.5-flash,8,Google
assignment,combined,,,,,1,kimi-k2.6,11,Moonshot
assignment,favorite,,,,,2,claude-opus-4-1,0,Anthropic
assignment,favorite,,,,,2,claude-opus-4-5,0,Anthropic
assignment,favorite,,,,,2,claude-opus-4-8,2,Anthropic
assignment,favorite,,,,,2,claude-fable-5,2,Anthropic
assignment,favorite,,,,,3,gpt-4o,4,OpenAI
assignment,favorite,,,,,3,deepseek-v4-pro,4,DeepSeek
assignment,favorite,,,,,3,grok-4.5,4,xAI
assignment,favorite,,,,,3,o3,6,OpenAI
assignment,favorite,,,,,3,gpt-5.2,6,OpenAI
assignment,favorite,,,,,3,gpt-5.6-sol,6,OpenAI
assignment,favorite,,,,,2,gemini-3.1-pro-preview,8,Google
assignment,favorite,,,,,2,gemini-3.5-flash,8,Google
assignment,favorite,,,,,1,kimi-k2.6,11,Moonshot
assignment,overrated,,,,,3,claude-opus-4-1,0,Anthropic
assignment,overrated,,,,,3,claude-opus-4-8,0,Anthropic
assignment,overrated,,,,,3,claude-fable-5,0,Anthropic
assignment,overrated,,,,,1,claude-opus-4-5,1,Anthropic
assignment,overrated,,,,,1,gpt-4o,4,OpenAI
assignment,overrated,,,,,5,o3,7,OpenAI
assignment,overrated,,,,,5,gpt-5.2,7,OpenAI
assignment,overrated,,,,,5,gpt-5.6-sol,7,OpenAI
assignment,overrated,,,,,5,deepseek-v4-pro,7,DeepSeek
assignment,overrated,,,,,5,grok-4.5,7,xAI
assignment,overrated,,,,,2,gemini-3.1-pro-preview,8,Google
assignment,overrated,,,,,2,gemini-3.5-flash,8,Google
assignment,overrated,,,,,1,kimi-k2.6,11,Moonshot
